URL Link,GMaps Link
https://www.tesco.com.my//Tesco-MY/Store-Locator/Penang/StoreLocatorDetails,['https://goo.gl/maps/KYCQZKhjcV9L3er26']
https://www.tesco.com.my//Tesco-MY/Store-Locator/Puchong/StoreLocatorDetails,['https://goo.gl/maps/Pv5vA1LKBkeeKHg78']
https://www.tesco.com.my//Tesco-MY/Store-Locator/Puncak-Alam/StoreLocatorDetails,['https://goo.gl/maps/mxgBTm5iEv5gDHtn8']
https://www.tesco.com.my//Tesco-MY/Store-Locator/Putra-Nilai/StoreLocatorDetails,['https://goo.gl/maps/4FZvTw3YTHckSVta7']
https://www.tesco.com.my//Tesco-MY/Store-Locator/Rawang/StoreLocatorDetails,['https://goo.gl/maps/gF6QqpCNxJPLdS7aA']
https://www.tesco.com.my//Tesco-MY/Store-Locator/Semenyih/StoreLocatorDetails,['https://goo.gl/maps/s1bivP3rETnEMG7p6']
https://www.tesco.com.my//Tesco-MY/Store-Locator/Seri-Alam/StoreLocatorDetails,['https://goo.gl/maps/MtFU7UmHVsyyXchC8']
https://www.tesco.com.my//Tesco-MY/Store-Locator/Seri-Iskandar-Mall/StoreLocatorDetails,['https://goo.gl/maps/nFYgqpnMsT8PrfK36']
https://www.tesco.com.my//Tesco-MY/Store-Locator/Setia-Alam/StoreLocatorDetails,['https://goo.gl/maps/jaMUEdL1kxxvoFaU8']
https://www.tesco.com.my//Tesco-MY/Store-Locator/Setia-Tropika/StoreLocatorDetails,['https://goo.gl/maps/onjFSWHea6jCeuSTA']
https://www.tesco.com.my//Tesco-MY/Store-Locator/Shah-Alam/StoreLocatorDetails,['https://goo.gl/maps/8bKN42vpHnzj5PTb6']
https://www.tesco.com.my//Tesco-MY/Store-Locator/Stargate/StoreLocatorDetails,['https://goo.gl/maps/syNzsvh8JvWdWkPbA']
https://www.tesco.com.my//Tesco-MY/Store-Locator/Station-18/StoreLocatorDetails,['https://goo.gl/maps/nw4yrDTAayQ4CpUd8']
https://www.tesco.com.my//Tesco-MY/Store-Locator/Sungai-Petani-Selatan/StoreLocatorDetails,['https://goo.gl/maps/UURDNGGiFrtRnT5a9']
https://www.tesco.com.my//Tesco-MY/Store-Locator/Sungai-Petani/StoreLocatorDetails,['https://goo.gl/maps/UURDNGGiFrtRnT5a9']
https://www.tesco.com.my//Tesco-MY/Store-Locator/Taiping/StoreLocatorDetails,['https://goo.gl/maps/eD6VoZ2A9rRzL99XA']
https://www.tesco.com.my//Tesco-MY/Store-Locator/Teluk-Intan/StoreLocatorDetails,['https://goo.gl/maps/v8dRkJ4btxKG8Jhq9']
https://www.tesco.com.my//Tesco-MY/Store-Locator/Tesco-Bertam-Perdana/StoreLocatorDetails,['https://goo.gl/maps/VmaPGNdH2zjzPjbv9']
https://www.tesco.com.my//Tesco-MY/Store-Locator/Tesco-Tanjung-Pinang/StoreLocatorDetails,['https://goo.gl/maps/eoXW8EKkC3uArNVC6']
https://www.tesco.com.my//Tesco-MY/Store-Locator/The-Mines/StoreLocatorDetails,['https://goo.gl/maps/fqoxKYgnTSBXXoCG6']
https://www.tesco.com.my//Tesco-MY/Store-Locator/Wangsa-Walk/StoreLocatorDetails,['https://goo.gl/maps/D6ay7JcYzCkgFEYF9']
