Store Name
Lotus’s Kepong
Tesco Ampang
Tesco Ara Damansara
Tesco Bagan Ajam
Tesco Bahau
Tesco Bandar Puteri Bangi
Tesco Bertam Perdana
Tesco Bukit Beruntung
Tesco Bukit Indah
Tesco Bukit Mertajam
Tesco Bukit Puchong
Tesco Desa Tebrau
Tesco Eco Tropics
Tesco Extra Cheras
Tesco Extra Ipoh
Tesco Extra Jenjarom
Tesco Extra Penang
Tesco Extra Plentong
Tesco Extra Seberang Jaya
Tesco Extra Selayang
Tesco Extra Seremban 2
Tesco Extra Seremban Jaya
Tesco IOI City Mall
Tesco Ipoh
Tesco Jitra
Tesco Kajang
Tesco Kampar
Tesco Klang
Tesco Kota Bharu
Tesco KSL City
Tesco Kuala Selangor
Tesco Kulai
Tesco Kulim
Tesco Lukut
Tesco Manjung
Tesco Melaka
Tesco Melaka Cheng
Tesco Mergong
Tesco Mutiara Damansara
Tesco Mutiara Rini
Tesco Paradigm
Tesco Parit Raja
Tesco Penang
Tesco Puchong
Tesco Puncak Alam
Tesco Putra Nilai
Tesco Rawang
Tesco Semenyih
Tesco Seri Alam
Tesco Seri Iskandar
Tesco Setia Alam
Tesco Setia Tropika
Tesco Shah Alam
Tesco Stargate
Tesco Station 18
Tesco Sungai Petani
Tesco Sungai Petani Selatan
Tesco Taiping
Tesco Tanjung Pinang
Tesco Teluk Intan
Tesco The Mines
Tesco Wangsa Walk
